Segment,speed km/h
1,19.70914416401015
2,19.70914416401015
3,24.163682413275158
4,19.70914416401015
5,24.163682413275158
6,15.588595279724986
7,19.70914416401015
8,24.163682413275158
9,15.588595279724986
10,41.41047866163723
11,19.70914416401015
12,24.163682413275158
13,15.588595279724986
14,41.41047866163723
15,58.417175441938625
16,19.70914416401015
17,24.163682413275158
18,15.588595279724986
19,41.41047866163723
20,58.417175441938625
21,56.8877554123395
22,19.70914416401015
23,24.163682413275158
24,15.588595279724986
25,41.41047866163723
26,58.417175441938625
27,56.8877554123395
28,80.951922773506
29,19.70914416401015
30,24.163682413275158
31,15.588595279724986
32,41.41047866163723
33,58.417175441938625
34,56.8877554123395
35,80.951922773506
36,63.6666745949173
37,19.70914416401015
38,24.163682413275158
39,15.588595279724986
40,41.41047866163723
41,58.417175441938625
42,56.8877554123395
43,80.951922773506
44,63.6666745949173
45,80.95190717505811
46,19.70914416401015
47,24.163682413275158
48,15.588595279724986
49,41.41047866163723
50,58.417175441938625
51,56.8877554123395
52,80.951922773506
53,63.6666745949173
54,80.95190717505811
55,82.60862504779809
56,19.70914416401015
57,24.163682413275158
58,15.588595279724986
59,41.41047866163723
60,58.417175441938625
61,56.8877554123395
62,80.951922773506
63,63.6666745949173
64,80.95190717505811
65,82.60862504779809
66,85.73666265865381
67,19.70914416401015
68,24.163682413275158
69,15.588595279724986
70,41.41047866163723
71,58.417175441938625
72,56.8877554123395
73,80.951922773506
74,63.6666745949173
75,80.95190717505811
76,82.60862504779809
77,85.73666265865381
78,75.88106039150655
79,19.70914416401015
80,24.163682413275158
81,15.588595279724986
82,41.41047866163723
83,58.417175441938625
84,56.8877554123395
85,80.951922773506
86,63.6666745949173
87,80.95190717505811
88,82.60862504779809
89,85.73666265865381
90,75.88106039150655
91,91.02870201549008
92,19.70914416401015
93,24.163682413275158
94,15.588595279724986
95,41.41047866163723
96,58.417175441938625
97,56.8877554123395
98,80.951922773506
99,63.6666745949173
100,80.95190717505811
101,82.60862504779809
102,85.73666265865381
103,75.88106039150655
104,91.02870201549008
105,91.05723106068822
106,19.70914416401015
107,24.163682413275158
108,15.588595279724986
109,41.41047866163723
110,58.417175441938625
111,56.8877554123395
112,80.951922773506
113,63.6666745949173
114,80.95190717505811
115,82.60862504779809
116,85.73666265865381
117,75.88106039150655
118,91.02870201549008
119,91.05723106068822
120,79.5832494859074
121,19.70914416401015
122,24.163682413275158
123,15.588595279724986
124,41.41047866163723
125,58.417175441938625
126,56.8877554123395
127,80.951922773506
128,63.6666745949173
129,80.95190717505811
130,82.60862504779809
131,85.73666265865381
132,75.88106039150655
133,91.02870201549008
134,91.05723106068822
135,79.5832494859074
136,97.98465735378153
137,19.70914416401015
138,24.163682413275158
139,15.588595279724986
140,41.41047866163723
141,58.417175441938625
142,56.8877554123395
143,80.951922773506
144,63.6666745949173
145,80.95190717505811
146,82.60862504779809
147,85.73666265865381
148,75.88106039150655
149,91.02870201549008
150,91.05723106068822
151,79.5832494859074
152,97.98465735378153
153,74.03296397546093
154,19.70914416401015
155,24.163682413275158
156,15.588595279724986
157,41.41047866163723
158,58.417175441938625
159,56.8877554123395
160,80.951922773506
161,63.6666745949173
162,80.95190717505811
163,82.60862504779809
164,85.73666265865381
165,75.88106039150655
166,91.02870201549008
167,91.05723106068822
168,79.5832494859074
169,97.98465735378153
170,74.03296397546093
171,88.90595438163314
172,19.70914416401015
173,24.163682413275158
174,15.588595279724986
175,41.41047866163723
176,58.417175441938625
177,56.8877554123395
178,80.951922773506
179,63.6666745949173
180,80.95190717505811
181,82.60862504779809
182,85.73666265865381
183,75.88106039150655
184,91.02870201549008
185,91.05723106068822
186,79.5832494859074
187,97.98465735378153
188,74.03296397546093
189,88.90595438163314
190,80.87231458381078
191,19.70914416401015
192,24.163682413275158
193,15.588595279724986
194,41.41047866163723
195,58.417175441938625
196,56.8877554123395
197,80.951922773506
198,63.6666745949173
199,80.95190717505811
